 Radiance,Flux,Isig,Jsig,Idark,Jdark,TBLIP,MaxBLIP,Well Cap,Well Fill,ReadNoise,Limiting Noise,MaxSNR,DynRange,SNR,NEC,NEI,DSTAR,NEP,NETD
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,0.0,572.3122038672183,amplifier,69.75,84.73,-12.27,572.4652982298046,1788954056968139.5,12634403212.341413,3.5396495424739585e-10,183.78422693705065
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,0.01,572.3122038672183,amplifier,69.75,84.73,7.73,573.841309523129,179325409225977.8,39857686745.56107,3.548157652502488e-11,18.422598152476496
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,0.7,572.3122038672183,amplifier,69.75,84.73,40.86,644.3374501677711,4027109063548.569,251001043218.23077,7.968094372664088e-13,0.41371611705322003
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,1.41,572.3122038672183,amplifier,69.75,84.73,46.22,709.084085762794,2215887768008.731,322556768877.85443,4.3843865602108274e-13,0.22764431475279867
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,7.03,572.3122038672183,SHOT,69.75,84.73,56.73,1097.194681279889,685746675799.9305,466128016616.70215,1.356827973191204e-13,0.07044866367341657
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,14.05,572.3122038672183,SHOT,69.75,84.73,60.53,1442.2659527848539,450708110245.26685,501485692631.306,8.917773768448283e-14,0.046302497983692244
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,28.11,572.3122038672183,SHOT,69.75,84.73,63.91,1957.7336127342382,305895876989.72473,522474740486.3772,6.052498647541471e-14,0.0314255344103501
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,42.16,572.3122038672183,SHOT,69.75,84.73,65.83,2363.3261980303314,246179812294.8262,530079314108.16125,4.8709482312391525e-14,0.025290736961009974
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,56.22,572.3122038672183,SHOT,69.75,84.73,67.19,2708.855946366206,211629370809.85983,534008271101.3858,4.1873283589558e-14,0.021741273991899505
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,70.27,572.3122038672183,SHOT,69.75,84.73,68.2,3015.0440059857506,188440250374.1094,536407998873.6644,3.728505175537181e-14,0.01935899114006523
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,84.33,572.3122038672183,SHOT,69.75,84.73,69.03,3292.883262112043,171504336568.33557,538025908003.2022,3.393408813948207e-14,0.01761911760103108
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,98.38,572.3122038672183,SHOT,69.75,84.73,69.69,3549.0378974821756,158439191851.8828,539190561896.6059,3.134900031468213e-14,0.0162768989385779
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,112.44,572.3122038672183,SHOT,69.75,84.73,69.75,3787.909689740735,147965222255.49744,540069032809.9081,2.927660602678388e-14,0.015200878904560813
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,126.49,572.3122038672183,SHOT,69.75,84.73,69.75,4012.586402496375,139325916753.34637,540755264365.8116,2.756722094510057e-14,0.014313339016769209
2596701118475825.5,1733527645.941561,2.2216890310387048e-10,5.554222577596762e-05,2.703242298889859e-12,6.758105747224648e-07,148.09700403838693,149.87302406105098,9987515.605493134,140.55,572.3122038672183,SHOT,69.75,84.73,69.75,4225.333058750027,132041658085.93832,541306137022.0507,2.6125947327205076e-14,0.013565006859895411
